,Song Name,Song id,Notes,Difficulty,Level,4.5/7s,6/9s,7.5/11s,7.5/12s
0,お願い ! シンデレラ,1,481,MASTER,20,0.6536323557600155,0.632842334969995,0.6649857713687503,0.6126421020038045
1,Star!!,19,573,MASTER,25,0.6571113834119285,0.6556261062220732,0.6431250232074556,0.5917591870582845
2,S(mile)ING!,9,440,MASTER,21,0.6289490651192785,0.6320116054158611,0.663120567375887,0.6047711154094136
3,Never say never,10,611,MASTER,25,0.6133416907522828,0.6436373344476547,0.6674327634037903,0.6120648628570757
4,ミツボシ☆☆★,11,583,MASTER,24,0.6441370752892224,0.6406092235076569,0.6481515273165205,0.5923141491186451
5,風色メロディ,12,409,MASTER,23,0.6457542180374211,0.6995092684111052,0.7054049836133802,0.604310808233193
6,華蕾夢ミル狂詩曲 \n～魂ノ導～,13,656,MASTER,27,0.6349463760595044,0.6499740529320176,0.6460819927348198,0.5555915931499734
7,ましゅまろ☆キッス,14,508,MASTER,24,0.6222426983861064,0.6623108281677557,0.6846484614955041,0.6106550510973369
8,あんずのうた,15,700,MASTER,28,0.6606889564336377,0.6793313069908817,0.6550151975683891,0.6369807497467064
9,DOKIDOKIリズム,17,573,MASTER,24,0.6198556805663854,0.6762962137808959,0.6631762652705055,0.5856943051997077
10,おねだり \nShall We ～?,18,524,MASTER,25,0.6254398787288181,0.6167776514536303,0.6449298900979911,0.6257105733311681
11,ススメ☆オトメ ～jewel parade～\n（CUTE VERSION）,5,517,MASTER,24,0.6699864191942053,0.6614812680905934,0.6422760881792116,0.6070208650561755
12,ススメ☆オトメ ～jewel parade～\n（COOL VERSION）,6,406,MASTER,24,0.6451105754113828,0.647206791740908,0.6543688642001193,0.6014394018796074
13,ススメ☆オトメ ～jewel parade～\n（PASSION VERSION）,7,511,MASTER,24,0.6516217679143941,0.6602267838059152,0.664668082330571,0.5965219080928791
14,ススメ☆オトメ \n～jewel parade～,8,466,MASTER,25,0.64758165159955,0.6506255136517216,0.6688886859647523,0.6172952241804407
15,Happy×2 Days,23,478,MASTER,23,0.6544704590640676,0.6437876494851483,0.697795186800795,0.5888898780379243
16,Memories,25,412,MASTER,22,0.636576464917717,0.6606761688356403,0.6706603318873516,0.6267644426082767
17,LET'S GO HAPPY!!,27,703,MASTER,27,0.6161032252857553,0.6380961028217469,0.6697739172543206,0.6034926303683291
